"","seqnames","start","end","width","strand","sampleName","median","mean","CN"
"1","Scaffold_1863_HRSCAF_2081",110001,140000,30000,"*","April_2017_D8_130_finalmap_mdup.bam",-0.999999951578787,-2.10728853838386,"CN0"
"2","Scaffold_1863_HRSCAF_2081",7420001,7470000,50000,"*","April_2017_D8_130_finalmap_mdup.bam",0.999999041848723,0.864238070841845,"CN5"
"3","Scaffold_1863_HRSCAF_2081",7710001,7740000,30000,"*","April_2017_D8_130_finalmap_mdup.bam",0.585860787088512,0.723591607272633,"CN3"
"4","Scaffold_1863_HRSCAF_2081",7850001,7890000,40000,"*","April_2017_D8_134_finalmap_mdup.bam",-5.32192796531224,-4.24144503501221,"CN0"
"5","Scaffold_1863_HRSCAF_2081",7920001,7960000,40000,"*","April_2017_D8_134_finalmap_mdup.bam",-3.16095817734786,-2.91589482281629,"CN0"
"6","Scaffold_1863_HRSCAF_2081",8900001,8970000,70000,"*","April_2017_D8_134_finalmap_mdup.bam",-0.999999999999862,-1.94398600027348,"CN1"
"7","Scaffold_1863_HRSCAF_2081",9380001,9410000,30000,"*","April_2017_D8_134_finalmap_mdup.bam",0.999992431304282,1.1072725834649,"CN4"
"8","Scaffold_1863_HRSCAF_2081",9410001,9450000,40000,"*","April_2017_D8_134_finalmap_mdup.bam",0.792479527649275,0.646239492498379,"CN4"
"9","Scaffold_1863_HRSCAF_2081",9450001,9480000,30000,"*","April_2017_D8_134_finalmap_mdup.bam",0.999546335355168,0.666494763375559,"CN4"
"10","Scaffold_1863_HRSCAF_2081",10250001,10350000,100000,"*","April_2017_D8_134_finalmap_mdup.bam",0.990113133240591,0.918696117643142,"CN3"
"11","Scaffold_1863_HRSCAF_2081",7440001,7470000,30000,"*","April_2017_D8_137_finalmap_mdup.bam",1.32196489938271,1.38332621056066,"CN7"
"12","Scaffold_1863_HRSCAF_2081",8770001,8800000,30000,"*","April_2017_D8_137_finalmap_mdup.bam",-5.32192748145614,-3.54825443353151,"CN0"
"13","Scaffold_1863_HRSCAF_2081",9390001,9510000,120000,"*","April_2017_D8_137_finalmap_mdup.bam",-5.32192732284562,-3.49910146503477,"CN1"
"14","Scaffold_1863_HRSCAF_2081",10250001,10280000,30000,"*","April_2017_D8_137_finalmap_mdup.bam",-5.32192562964441,-3.88118949954814,"CN1"
"15","Scaffold_1863_HRSCAF_2081",2170001,2200000,30000,"*","April_2017_D8_147_finalmap_mdup.bam",0.58496250072088,0.390194302707229,"CN3"
"16","Scaffold_1863_HRSCAF_2081",6940001,6990000,50000,"*","April_2017_D8_147_finalmap_mdup.bam",0.999999999999904,1.09678924038047,"CN5"
"17","Scaffold_1863_HRSCAF_2081",7420001,7470000,50000,"*","April_2017_D8_147_finalmap_mdup.bam",1.32192808161468,1.19318963880146,"CN7"
"18","Scaffold_1863_HRSCAF_2081",7990001,8020000,30000,"*","April_2017_D8_147_finalmap_mdup.bam",-0.994682191052686,-0.664893084606609,"CN1"
"19","Scaffold_1863_HRSCAF_2081",9560001,9620000,60000,"*","April_2017_D8_147_finalmap_mdup.bam",0.531538131362015,0.475288670307001,"CN3"
"20","Scaffold_1863_HRSCAF_2081",6940001,6990000,50000,"*","April_2017_D8_157_finalmap_mdup.bam",0.999999995352335,1.09837041255138,"CN5"
"21","Scaffold_1863_HRSCAF_2081",7420001,7470000,50000,"*","April_2017_D8_157_finalmap_mdup.bam",1.32191570468073,1.09764488935431,"CN6"
"22","Scaffold_1863_HRSCAF_2081",6930001,6990000,60000,"*","April_2017_D8_179_finalmap_mdup.bam",0.999998621441012,0.962270489188576,"CN5"
"23","Scaffold_1863_HRSCAF_2081",7420001,7470000,50000,"*","April_2017_D8_179_finalmap_mdup.bam",1.32192809488736,1.24166546668857,"CN7"
"24","Scaffold_1863_HRSCAF_2081",7810001,7840000,30000,"*","April_2017_D8_179_finalmap_mdup.bam",0.584948149988454,0.392821729579985,"CN3"
"25","Scaffold_1863_HRSCAF_2081",7990001,8020000,30000,"*","April_2017_D8_179_finalmap_mdup.bam",-0.980458588141635,-0.659608441752283,"CN1"
"26","Scaffold_1863_HRSCAF_2081",9560001,9620000,60000,"*","April_2017_D8_179_finalmap_mdup.bam",0.584976633018278,0.493635485606524,"CN3"
"27","Scaffold_1863_HRSCAF_2081",7090001,7120000,30000,"*","April_2017_D8_210_finalmap_mdup.bam",0.574862477525262,0.385942662296029,"CN3"
"28","Scaffold_1863_HRSCAF_2081",7440001,7470000,30000,"*","April_2017_D8_210_finalmap_mdup.bam",0.999999999997743,0.861654373733749,"CN4"
"29","Scaffold_1863_HRSCAF_2081",7690001,7740000,50000,"*","April_2017_D8_210_finalmap_mdup.bam",0.584962500381803,0.5509753384835,"CN3"
"30","Scaffold_1863_HRSCAF_2081",7700001,7740000,40000,"*","April_2017_D8_214_finalmap_mdup.bam",0.584974082858068,0.542583490865727,"CN3"
"31","Scaffold_1863_HRSCAF_2081",110001,140000,30000,"*","April_2017_D8_222_finalmap_mdup.bam",-0.999999893999498,-2.10728251596904,"CN0"
"32","Scaffold_1863_HRSCAF_2081",7440001,7470000,30000,"*","April_2017_D8_222_finalmap_mdup.bam",0.999999999988125,0.861654176829126,"CN4"
"33","Scaffold_1863_HRSCAF_2081",7690001,7740000,50000,"*","April_2017_D8_222_finalmap_mdup.bam",0.58496252354807,0.551213525163361,"CN3"
"34","Scaffold_1863_HRSCAF_2081",8010001,8050000,40000,"*","April_2017_D8_222_finalmap_mdup.bam",0.549331935773307,0.53663691900163,"CN3"
